"sex","race","age","zip","time","date","tests","cases"
"male","white","0-17","48001",1,"2019-12-30",19,1
"male","white","0-17","48001",1,"2019-12-30",52,2
"male","white","0-17","48001",1,"2019-12-30",9,0
"male","white","0-17","48001",1,"2019-12-30",163,0
"male","white","0-17","48001",1,"2019-12-30",9,0
"male","white","0-17","48001",1,"2019-12-30",31,0
"male","white","0-17","48001",1,"2019-12-30",25,0
"male","white","0-17","48001",1,"2019-12-30",57,0
"male","white","0-17","48001",1,"2019-12-30",13,0
"male","white","0-17","48001",1,"2019-12-30",4,0
"male","white","0-17","48002",2,"2020-01-06",19,0
"male","white","0-17","48002",2,"2020-01-06",52,0
"male","white","0-17","48002",2,"2020-01-06",9,0
"male","white","0-17","48002",2,"2020-01-06",162,5
"male","white","0-17","48002",2,"2020-01-06",9,0
"male","white","0-17","48002",2,"2020-01-06",31,0
"male","white","0-17","48002",2,"2020-01-06",25,1
"male","white","0-17","48002",2,"2020-01-06",57,0
"male","white","0-17","48002",2,"2020-01-06",12,1
"male","white","0-17","48002",2,"2020-01-06",4,0
"male","white","0-17","48003",3,"2020-01-13",5,0
"male","white","0-17","48003",3,"2020-01-13",16,1
"male","white","0-17","48003",3,"2020-01-13",2,0
"male","white","0-17","48003",3,"2020-01-13",50,0
"male","white","0-17","48003",3,"2020-01-13",3,0
"male","white","0-17","48003",3,"2020-01-13",9,0
"male","white","0-17","48003",3,"2020-01-13",7,1
"male","white","0-17","48003",3,"2020-01-13",17,2
"male","white","0-17","48003",3,"2020-01-13",4,0
"male","white","0-17","48003",3,"2020-01-13",1,0
"male","white","0-17","48004",4,"2020-01-20",7,0
"male","white","0-17","48004",4,"2020-01-20",20,0
"male","white","0-17","48004",4,"2020-01-20",3,0
"male","white","0-17","48004",4,"2020-01-20",63,1
"male","white","0-17","48004",4,"2020-01-20",3,0
"male","white","0-17","48004",4,"2020-01-20",12,0
"male","white","0-17","48004",4,"2020-01-20",9,0
"male","white","0-17","48004",4,"2020-01-20",22,0
"male","white","0-17","48004",4,"2020-01-20",5,0
"male","white","0-17","48004",4,"2020-01-20",1,0
"male","white","0-17","48005",5,"2020-01-27",8,0
"male","white","0-17","48005",5,"2020-01-27",22,0
"male","white","0-17","48005",5,"2020-01-27",3,0
"male","white","0-17","48005",5,"2020-01-27",69,1
"male","white","0-17","48005",5,"2020-01-27",4,0
