"sex","race","age","edu","state","total","positive","repvote","region"
"male","other","50-59","4-year college","AK",1,1,0.583856547,"West"
"female","white","50-59","hs","AK",1,0,0.583856547,"West"
"male","white","18-29","some college","AK",1,0,0.583856547,"West"
"male","white","30-39","post-grad","AK",1,0,0.583856547,"West"
"female","black","18-29","hs","AL",1,0,0.643741436,"South"
"female","black","18-29","some college","AL",1,0,0.643741436,"South"
"female","black","30-39","4-year college","AL",1,0,0.643741436,"South"
"female","black","30-39","hs","AL",1,0,0.643741436,"South"
"female","black","30-39","some college","AL",1,0,0.643741436,"South"
"female","black","40-49","hs","AL",1,1,0.643741436,"South"
"female","black","40-49","some college","AL",2,0,0.643741436,"South"
"female","black","50-59","post-grad","AL",1,0,0.643741436,"South"
"female","black","50-59","some college","AL",1,0,0.643741436,"South"
"female","black","60-69","some college","AL",1,1,0.643741436,"South"
"male","black","40-49","some college","AL",1,1,0.643741436,"South"
"female","other","18-29","4-year college","AL",1,0,0.643741436,"South"
"female","other","30-39","hs","AL",1,0,0.643741436,"South"
"female","other","40-49","some college","AL",1,1,0.643741436,"South"
"female","white","18-29","4-year college","AL",3,0,0.643741436,"South"
"female","white","18-29","hs","AL",4,1,0.643741436,"South"
"female","white","18-29","some college","AL",2,1,0.643741436,"South"
"female","white","30-39","4-year college","AL",2,1,0.643741436,"South"
"female","white","30-39","hs","AL",2,2,0.643741436,"South"
"female","white","30-39","no hs","AL",1,1,0.643741436,"South"
"female","white","30-39","some college","AL",4,4,0.643741436,"South"
"female","white","40-49","hs","AL",3,1,0.643741436,"South"
"female","white","40-49","no hs","AL",1,1,0.643741436,"South"
"female","white","40-49","post-grad","AL",1,0,0.643741436,"South"
"female","white","50-59","hs","AL",4,2,0.643741436,"South"
"female","white","50-59","post-grad","AL",1,1,0.643741436,"South"
"female","white","50-59","some college","AL",2,1,0.643741436,"South"
"female","white","60-69","4-year college","AL",1,0,0.643741436,"South"
"female","white","60-69","no hs","AL",2,0,0.643741436,"South"
"female","white","60-69","some college","AL",2,1,0.643741436,"South"
"female","white","70+","4-year college","AL",1,1,0.643741436,"South"
"female","white","70+","hs","AL",2,2,0.643741436,"South"
"female","white","70+","post-grad","AL",1,0,0.643741436,"South"
"female","white","70+","some college","AL",6,3,0.643741436,"South"
"male","white","18-29","4-year college","AL",2,1,0.643741436,"South"
"male","white","30-39","4-year college","AL",1,0,0.643741436,"South"
"male","white","30-39","hs","AL",1,1,0.643741436,"South"
"male","white","30-39","post-grad","AL",1,1,0.643741436,"South"
"male","white","40-49","4-year college","AL",1,1,0.643741436,"South"
"male","white","40-49","hs","AL",2,2,0.643741436,"South"
"male","white","40-49","some college","AL",4,2,0.643741436,"South"
"male","white","50-59","hs","AL",3,3,0.643741436,"South"
"male","white","50-59","some college","AL",2,2,0.643741436,"South"
"male","white","60-69","4-year college","AL",2,2,0.643741436,"South"
"male","white","70+","4-year college","AL",5,5,0.643741436,"South"
"male","white","70+","post-grad","AL",1,1,0.643741436,"South"
"female","black","60-69","some college","AR",1,0,0.642851377,"South"
"female","black","70+","some college","AR",1,0,0.642851377,"South"
"male","black","30-39","some college","AR",1,1,0.642851377,"South"
"male","black","40-49","hs","AR",2,0,0.642851377,"South"
"female","other","30-39","hs","AR",1,0,0.642851377,"South"
"female","other","40-49","no hs","AR",1,1,0.642851377,"South"
"male","other","18-29","some college","AR",1,0,0.642851377,"South"
"male","other","50-59","some college","AR",1,1,0.642851377,"South"
"female","white","18-29","4-year college","AR",1,0,0.642851377,"South"
"female","white","18-29","hs","AR",1,0,0.642851377,"South"
"female","white","18-29","post-grad","AR",1,0,0.642851377,"South"
"female","white","18-29","some college","AR",5,4,0.642851377,"South"
"female","white","30-39","some college","AR",3,3,0.642851377,"South"
"female","white","40-49","4-year college","AR",1,1,0.642851377,"South"
"female","white","40-49","hs","AR",2,2,0.642851377,"South"
"female","white","40-49","some college","AR",2,2,0.642851377,"South"
"female","white","50-59","4-year college","AR",2,1,0.642851377,"South"
"female","white","50-59","hs","AR",1,1,0.642851377,"South"
"female","white","50-59","no hs","AR",1,1,0.642851377,"South"
"female","white","50-59","some college","AR",2,1,0.642851377,"South"
