"state","race","sex","age","edu","total"
"01","white","female","18-29","no hs",20390
"01","white","female","18-29","hs",66649
"01","white","female","18-29","some college",103260
"01","white","female","18-29","4-year college",43469
"01","white","female","18-29","post-grad",10574
"01","white","female","30-39","no hs",13255
"01","white","female","30-39","hs",41917
"01","white","female","30-39","some college",63876
"01","white","female","30-39","4-year college",48302
"01","white","female","30-39","post-grad",26997
"01","white","female","40-49","no hs",15625
"01","white","female","40-49","hs",47475
"01","white","female","40-49","some college",66636
"01","white","female","40-49","4-year college",44407
"01","white","female","40-49","post-grad",29748
"01","white","female","50-59","no hs",19552
"01","white","female","50-59","hs",64217
"01","white","female","50-59","some college",75075
"01","white","female","50-59","4-year college",39687
"01","white","female","50-59","post-grad",25433
"01","white","female","60-69","no hs",20566
"01","white","female","60-69","hs",71226
"01","white","female","60-69","some college",74278
"01","white","female","60-69","4-year college",35445
"01","white","female","60-69","post-grad",25779
"01","white","female","70+","no hs",38518
"01","white","female","70+","hs",106328
"01","white","female","70+","some college",66305
"01","white","female","70+","4-year college",28532
"01","white","female","70+","post-grad",22114
"01","white","male","18-29","no hs",27564
"01","white","male","18-29","hs",88072
"01","white","male","18-29","some college",94332
"01","white","male","18-29","4-year college",33291
"01","white","male","18-29","post-grad",6832
"01","white","male","30-39","no hs",17152
"01","white","male","30-39","hs",57470
"01","white","male","30-39","some college",61615
"01","white","male","30-39","4-year college",40761
"01","white","male","30-39","post-grad",19312
"01","white","male","40-49","no hs",24735
"01","white","male","40-49","hs",55603
"01","white","male","40-49","some college",59444
"01","white","male","40-49","4-year college",38347
"01","white","male","40-49","post-grad",22065
"01","white","male","50-59","no hs",28752
"01","white","male","50-59","hs",69861
"01","white","male","50-59","some college",64548
"01","white","male","50-59","4-year college",38406
"01","white","male","50-59","post-grad",24274
"01","white","male","60-69","no hs",25917
"01","white","male","60-69","hs",65005
"01","white","male","60-69","some college",62455
"01","white","male","60-69","4-year college",37513
"01","white","male","60-69","post-grad",24221
"01","white","male","70+","no hs",25567
"01","white","male","70+","hs",60064
"01","white","male","70+","some college",48577
"01","white","male","70+","4-year college",36471
"01","white","male","70+","post-grad",27575
"01","black","female","18-29","no hs",10517
"01","black","female","18-29","hs",40503
"01","black","female","18-29","some college",58818
"01","black","female","18-29","4-year college",13539
"01","black","female","18-29","post-grad",3057
"01","black","female","30-39","no hs",9053
"01","black","female","30-39","hs",29236
"01","black","female","30-39","some college",34636
"01","black","female","30-39","4-year college",13632
"01","black","female","30-39","post-grad",9126
"01","black","female","40-49","no hs",9585
"01","black","female","40-49","hs",26301
"01","black","female","40-49","some college",30194
"01","black","female","40-49","4-year college",12024
"01","black","female","40-49","post-grad",11396
"01","black","female","50-59","no hs",10232
"01","black","female","50-59","hs",26453
"01","black","female","50-59","some college",30389
"01","black","female","50-59","4-year college",10758
"01","black","female","50-59","post-grad",7923
"01","black","female","60-69","no hs",11437
"01","black","female","60-69","hs",27418
"01","black","female","60-69","some college",28270
"01","black","female","60-69","4-year college",10272
"01","black","female","60-69","post-grad",6652
"01","black","female","70+","no hs",17517
"01","black","female","70+","hs",22249
"01","black","female","70+","some college",14001
"01","black","female","70+","4-year college",5861
"01","black","female","70+","post-grad",5142
"01","black","male","18-29","no hs",15988
"01","black","male","18-29","hs",52149
"01","black","male","18-29","some college",42035
"01","black","male","18-29","4-year college",7052
"01","black","male","18-29","post-grad",1005
"01","black","male","30-39","no hs",13299
"01","black","male","30-39","hs",30553
"01","black","male","30-39","some college",22844
"01","black","male","30-39","4-year college",9613
"01","black","male","30-39","post-grad",3008
"01","black","male","40-49","no hs",11849
"01","black","male","40-49","hs",31116
"01","black","male","40-49","some college",19838
"01","black","male","40-49","4-year college",7670
"01","black","male","40-49","post-grad",4504
