"week_index","start_of_week"
1,2019-12-30
2,2020-01-06
3,2020-01-13
4,2020-01-20
5,2020-01-27
6,2020-02-03
7,2020-02-10
8,2020-02-17
9,2020-02-24
10,2020-03-02
11,2020-03-09
12,2020-03-16
13,2020-03-23
14,2020-03-30
15,2020-04-06
16,2020-04-13
17,2020-04-20
18,2020-04-27
19,2020-05-04
20,2020-05-11
21,2020-05-18
22,2020-05-25
23,2020-06-01
24,2020-06-08
25,2020-06-15
26,2020-06-22
27,2020-06-29
28,2020-07-06
29,2020-07-13
30,2020-07-20
31,2020-07-27
32,2020-08-03
33,2020-08-10
34,2020-08-17
35,2020-08-24
36,2020-08-31
37,2020-09-07
38,2020-09-14
39,2020-09-21
40,2020-09-28
41,2020-10-05
42,2020-10-12
43,2020-10-19
44,2020-10-26
45,2020-11-02
46,2020-11-09
47,2020-11-16
48,2020-11-23
49,2020-11-30
50,2020-12-07
51,2020-12-14
52,2020-12-21
53,2020-12-28
54,2021-01-04
55,2021-01-11
56,2021-01-18
57,2021-01-25
58,2021-02-01
59,2021-02-08
60,2021-02-15
61,2021-02-22
62,2021-03-01
63,2021-03-08
64,2021-03-15
65,2021-03-22
66,2021-03-29
67,2021-04-05
68,2021-04-12
69,2021-04-19
70,2021-04-26
71,2021-05-03
72,2021-05-10
73,2021-05-17
74,2021-05-24
75,2021-05-31
76,2021-06-07
77,2021-06-14
78,2021-06-21
79,2021-06-28
80,2021-07-05
81,2021-07-12
82,2021-07-19
83,2021-07-26
84,2021-08-02
85,2021-08-09
86,2021-08-16
87,2021-08-23
88,2021-08-30
89,2021-09-06
90,2021-09-13
91,2021-09-20
92,2021-09-27
93,2021-10-04
94,2021-10-11
95,2021-10-18
96,2021-10-25
97,2021-11-01
98,2021-11-08
99,2021-11-15
100,2021-11-22
101,2021-11-29
102,2021-12-06
103,2021-12-13
104,2021-12-20
105,2021-12-27
106,2022-01-03
107,2022-01-10
108,2022-01-17
109,2022-01-24
110,2022-01-31
111,2022-02-07
112,2022-02-14
113,2022-02-21
114,2022-02-28
115,2022-03-07
116,2022-03-14
117,2022-03-21
118,2022-03-28
119,2022-04-04
120,2022-04-11
121,2022-04-18
122,2022-04-25
123,2022-05-02
124,2022-05-09
125,2022-05-16
126,2022-05-23
127,2022-05-30
128,2022-06-06
129,2022-06-13
130,2022-06-20
131,2022-06-27
132,2022-07-04
133,2022-07-11
134,2022-07-18
135,2022-07-25
136,2022-08-01
137,2022-08-08
138,2022-08-15
139,2022-08-22
140,2022-08-29
141,2022-09-05
142,2022-09-12
143,2022-09-19
144,2022-09-26
145,2022-10-03
146,2022-10-10
147,2022-10-17
148,2022-10-24
149,2022-10-31
150,2022-11-07
151,2022-11-14
152,2022-11-21
153,2022-11-28
154,2022-12-05
155,2022-12-12
156,2022-12-19
157,2022-12-26
158,2023-01-02
159,2023-01-09
160,2023-01-16
161,2023-01-23
162,2023-01-30
163,2023-02-06
164,2023-02-13
165,2023-02-20
166,2023-02-27
167,2023-03-06
168,2023-03-13
169,2023-03-20
170,2023-03-27
171,2023-04-03
172,2023-04-10
173,2023-04-17
174,2023-04-24
175,2023-05-01
176,2023-05-08
177,2023-05-15
178,2023-05-22
179,2023-05-29
180,2023-06-05
181,2023-06-12
182,2023-06-19
183,2023-06-26
184,2023-07-03
185,2023-07-10
186,2023-07-17
187,2023-07-24
188,2023-07-31
189,2023-08-07
190,2023-08-14
191,2023-08-21
192,2023-08-28
193,2023-09-04
194,2023-09-11
195,2023-09-18
196,2023-09-25
197,2023-10-02
198,2023-10-09
199,2023-10-16
200,2023-10-23
201,2023-10-30
202,2023-11-06
203,2023-11-13
204,2023-11-20
205,2023-11-27
206,2023-12-04
207,2023-12-11
208,2023-12-18
209,2023-12-25
210,2024-01-01
